 id  | type | auxiliary | frequency |                                                            name                                                            
 132 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:anon-9
 183 |    4 | f         |         0 | http://www.w3.org/2000/01/rdf-schema#label
  26 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj6Course
  27 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#College
  28 |    1 | f         |         1 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj16Department
  29 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj7Student
  22 |    1 | f         |        15 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department
 173 |    3 | f         |     15959 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#name
 180 |    4 | f         |         0 | http://www.w3.org/2002/07/owl#versionInfo
  23 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj1Department
  24 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj3Student
 181 |    4 | f         |         0 | http://www.w3.org/2002/07/owl#incompatibleWith
  25 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty
  32 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj17Department
  31 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj1Student
  33 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work
 141 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#hasFaculty
  34 |    1 | f         |        86 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj19Professor
 128 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate
 133 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#undergraduateDegreeFrom-0
 131 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#hasAlumnus
  30 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj7Professor
 134 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#researchProject
  36 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj15Department
  35 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization
 143 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor-1
  37 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj10Department
  39 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#SystemsStaff
  38 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#AdministrativeStaff
  40 |    1 | f         |        61 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj14Professor
 145 |    2 | f         |       509 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#mastersDegreeFrom
  41 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj10Professor
  43 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj15Student
  42 |    1 | f         |         3 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj11Department
 182 |    4 | f         |         0 | http://www.w3.org/2000/01/rdf-schema#comment
 150 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#affiliatedOrganizationOf
  44 |    1 | f         |       115 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj4Course
  48 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj8Course
  47 |    1 | f         |        88 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Lecturer
  46 |    1 | f         |      5939 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication
  45 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj5Department
  49 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#JournalArticle
  50 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj17Student
 184 |    4 | f         |         0 | http://www.w3.org/2002/07/owl#priorVersion
 154 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#undergraduateDegreeFrom-14
 178 |    4 | f         |         0 | http://www.w3.org/2000/01/rdf-schema#seeAlso
 157 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#affiliateOf
 158 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#member
  51 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj5Professor
 172 |    3 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber
  52 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj8Professor
  53 |    1 | f         |       560 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj4Student
  54 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj15Course
 162 |    2 | f         |     10735 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor
  55 |    1 | f         |        30 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj4Professor
  56 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Chair
  57 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj1Professor
  58 |    1 | f         |      1564 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj19Student
  59 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#ClericalStaff
  60 |    1 | f         |       913 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj9Student
  61 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor
 166 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#isPartOfUniversity
 167 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#degreeFrom
  62 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#PostDoc
  63 |    1 | f         |         1 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj4Department
  64 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Institute
 169 |    2 | f         |      1544 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#teacherOf
  65 |    1 | f         |       134 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssistantProfessor
  66 |    1 | f         |         1 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj18Department
  67 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj6Student
 171 |    3 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#age
  68 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj1Course
  69 |    1 | f         |       218 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj2Course
  70 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj3Professor
  71 |    1 | f         |       318 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj19Course
  72 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj12Student
  73 |    1 | f         |        61 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj2Professor
 136 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor-13
  74 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj8Student
 140 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#listedCourse
  75 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Software
  76 |    1 | f         |       186 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor
 142 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#softwareVersion
  77 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj7Department
  78 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj10Student
  79 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#UnofficialPublication
 144 |    2 | f         |        15 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf
  80 |    1 | f         |       535 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant
  81 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student
  82 |    1 | f         |       218 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj9Course
 179 |    4 | f         |         0 | http://www.w3.org/2002/07/owl#backwardCompatibleWith
 151 |    2 | f         |       506 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor
  83 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj13Student
  84 |    1 | f         |       811 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateCourse
  85 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj6Department
  86 |    1 | f         |      5949 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent
  87 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Research
 185 |    4 | f         |         0 | http://www.w3.org/2000/01/rdf-schema#isDefinedBy
  88 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj3Department
  89 |    1 | f         |      1528 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj11Student
  90 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person
  91 |    1 | f         |       210 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup
 164 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf-5
  92 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj5Course
 165 |    2 | f         |      7448 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#memberOf
  93 |    1 | f         |        86 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj11Professor
  94 |    1 | f         |         2 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj2Department
 170 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf-6
  95 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj20Professor
  96 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#TechnicalReport
  97 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Specification
  98 |    1 | f         |       209 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj14Course
 102 |    1 | f         |      1082 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj14Student
 101 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj6Professor
 100 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee
  99 |    1 | f         |       306 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj11Course
 138 |    2 | f         |      2326 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#undergraduateDegreeFrom
 103 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#VisitingProfessor
 105 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj20Department
 104 |    1 | f         |      1072 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj2Student
 139 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationResearch
 106 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj12Department
 107 |    1 | f         |       678 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj18Student
 108 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#ExamRecord
 109 |    1 | f         |       464 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj16Student
 147 |    2 | f         |     20409 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse
 146 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#teachingAssistantOf-2
 111 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article
 110 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj12Course
 112 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj12Professor
 113 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Program
 114 |    1 | f         |       970 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#University
 152 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#tenured
 156 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#softwareDocumentation
 155 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse-10
 115 |    1 | f         |         2 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj9Department
 116 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#ExDean
 117 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj3Course
 118 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj13Professor
 159 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#memberOf-3
 160 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf-12
 119 |    1 | f         |      1912 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent
 161 |    2 | f         |      2995 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor
 120 |    1 | f         |       120 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj18Course
 121 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj20Course
 163 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#mastersDegreeFrom-4
 123 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj13Course
 122 |    1 | f         |         2 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj14Department
 124 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Schedule
 125 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj17Professor
 126 |    1 | f         |        34 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj18Professor
 168 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:http://swat.cse.lehigh.edu/onto/univ-bench.owl#doctoralDegreeFrom-11
 127 |    1 | f         |        32 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj16Professor
(185 rows)

